ari,macro_f1,weighted_f1,runtime,n_spots,n_clusters_pred,n_clusters_true,sample_id,dataset,method,seed,l,res,peak_ram_gb,error,assignment,n_gt_clusters
0.0072959093191661,0.2002491509101925,0.2191806103104656,18.004011869430542,691.0,11.0,4.0,F1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.0993919436060559,0.3201293488005081,0.6024963661226892,0.4051330089569092,691.0,4.0,4.0,F1,HER2+,Leiden_PCA,42.0,,0.7525,10.65457534790039,,,
0.1767749347139967,0.3271469443000111,0.3876220730122133,0.1268739700317382,467.0,9.0,7.0,G2,HER2+,SpaGCN,42.0,140.86914895057674,1.05,10.65457534790039,,,
0.0949832029175807,0.2337494754650373,0.3024025051680516,12.591204404830933,467.0,9.0,7.0,G2,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.1691610856559653,0.3644589079797761,0.4026155708290068,0.0596659183502197,467.0,7.0,7.0,G2,HER2+,Leiden_PCA,42.0,,1.0,10.65457534790039,,,
0.3539414860462335,0.5835187304484898,0.597164582171019,0.2077639102935791,612.0,7.0,7.0,H1,HER2+,SpaGCN,42.0,140.70988693237305,1.05,10.65457534790039,,,
0.2972687620004127,0.4400377031568248,0.5344274929608641,16.022350549697876,612.0,10.0,7.0,H1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.2327356399781341,0.5122782806451345,0.5116656050572039,0.7166669368743896,612.0,7.0,7.0,H1,HER2+,Leiden_PCA,42.0,,1.0234375,10.65457534790039,,,
0.4329108456571342,0.6050159023268963,0.6335207707272137,4.531967639923096,5250.0,24.0,14.0,E9.5_E2S1,MOSTA,SpaGCN,42.0,0.480141835361719,2.1,10.65457534790039,,,
0.3616797374530637,0.4430629270224735,0.5279959586396472,106.95076656341551,5250.0,15.0,14.0,E9.5_E2S1,MOSTA,STAGATE,42.0,,,10.65457534790039,,,
0.3816956477114835,0.5002547627494306,0.5360475334681548,3.7629237174987793,5250.0,14.0,14.0,E9.5_E2S1,MOSTA,Leiden_PCA,42.0,,1.375,10.65457534790039,,,
0.4037576248691196,0.5498961810673914,0.6001085891705525,3.514964818954468,4333.0,22.0,13.0,E9.5_E2S2,MOSTA,SpaGCN,42.0,0.4807900293916464,1.95,10.65457534790039,,,
0.3525694108868344,0.4319129050652873,0.5109683277539452,89.49223709106445,4333.0,18.0,13.0,E9.5_E2S2,MOSTA,STAGATE,42.0,,,10.65457534790039,,,
0.473660883242377,0.6087909411807458,0.6449350356311269,3.514676570892334,4333.0,13.0,13.0,E9.5_E2S2,MOSTA,Leiden_PCA,42.0,,1.5625,10.65457534790039,,,
0.5096530509640375,0.5475287560212175,0.646525592747236,4.488426685333252,5059.0,21.0,13.0,E9.5_E2S3,MOSTA,SpaGCN,42.0,0.480488283894956,1.95,10.65457534790039,,,
0.3681065062414727,0.5019733376986254,0.5785240290384349,102.17841291427612,5059.0,20.0,13.0,E9.5_E2S3,MOSTA,STAGATE,42.0,,,10.65457534790039,,,
0.4460547273805428,0.5955866390638271,0.6279065704689011,4.04149055480957,5059.0,13.0,13.0,E9.5_E2S3,MOSTA,Leiden_PCA,42.0,,1.375,10.65457534790039,,,
0.3443135283441621,0.455574303208388,0.5370881947389033,5.079531669616699,5736.0,20.0,13.0,E9.5_E2S4,MOSTA,SpaGCN,42.0,0.4798773423954844,1.95,10.65457534790039,,,
0.4016635539554357,0.4514488177446028,0.5669539585029417,114.0075933933258,5736.0,17.0,13.0,E9.5_E2S4,MOSTA,STAGATE,42.0,,,10.65457534790039,,,
0.3984285038572879,0.4532988238122926,0.5721705487739527,13.9910728931427,5736.0,13.0,13.0,E9.5_E2S4,MOSTA,Leiden_PCA,42.0,,1.421875,10.65457534790039,,,
0.2334564088919931,0.3263344438480604,0.4174563848039858,88.14414167404175,4221.0,7.0,7.0,151507,DLPFC,Novae,,,,,,,
0.0803246252603379,0.1830451432247126,0.2894282850188421,73.52227139472961,4380.0,5.0,7.0,151508,DLPFC,Novae,,,,,,,
0.1883908201689298,0.2351038932098262,0.438808383862626,156.59046077728271,4788.0,7.0,7.0,151509,DLPFC,Novae,,,,,,,
0.3598201842105404,0.3643855996337855,0.5511216516413091,138.47430562973022,4595.0,7.0,7.0,151510,DLPFC,Novae,,,,,,,
0.0131345559593332,0.2246144277428599,0.3704481030082004,71.5562834739685,3635.0,5.0,5.0,151669,DLPFC,Novae,,,,,,,
-0.0185121294683919,0.2171510385952186,0.4279740529828608,60.44812607765198,3483.0,5.0,5.0,151670,DLPFC,Novae,,,,,,,
0.1849410031269795,0.3361578237589371,0.4751402368690535,58.46211242675781,4093.0,5.0,5.0,151671,DLPFC,Novae,,,,,,,
0.0857308399836573,0.3052030330328465,0.3619823898241924,120.40843629837036,3888.0,5.0,5.0,151672,DLPFC,Novae,,,,,,,
0.2364971668070182,0.3337148461313773,0.391343867555831,106.73675966262816,3610.0,6.0,7.0,151673,DLPFC,Novae,,,,,,,
